serial,title,abstract
1,"Intelligent structural health monitoring of composite structures using machine learning, deep learning, and transfer learning: a review","Structural health monitoring (SHM) methods are essential to guarantee the safety and integrity of composite structures, which are extensively utilized in aerospace, automobile, marine, and infrastructure industry. The deterioration of composite structures is primarily caused by operational and environmental variability. To address this issue, artificial intelligence (AI) techniques are being integrated into the SHM systems to enhance the performance of composite structures via digital transformation and big data analysis. Therefore, the present article aims to provide a critical review of AI models, including machine learning, deep learning, and transfer learning, to preserve and sustain composite structures throughout their life. The article covers the complete SHM process for composite structures, including sensing technologies, data-preprocessing, feature extraction, and decision-making process. Thus, the health monitoring of composites is presented in consideration of modern AI techniques, accompanied by the identification of current challenges and potential future research directions."
2,"An Overview of Machine Learning, Deep Learning, and Reinforcement Learning-Based Techniques in Quantitative Finance: Recent Progress and Challenges","Forecasting the behavior of the stock market is a classic but difficult topic, one that has attracted the interest of both economists and computer scientists. Over the course of the last couple of decades, researchers have investigated linear models as well as models that are based on machine learning (ML), deep learning (DL), reinforcement learning (RL), and deep reinforcement learning (DRL) in order to create an accurate predictive model. Machine learning algorithms can now extract high-level financial market data patterns. Investors are using deep learning models to anticipate and evaluate stock and foreign exchange markets due to the advantage of artificial intelligence. Recent years have seen a proliferation of the deep reinforcement learning algorithm’s application in algorithmic trading. DRL agents, which combine price prediction and trading signal production, have been used to construct several completely automated trading systems or strategies. Our objective is to enable interested researchers to stay current and easily imitate earlier findings. In this paper, we have worked to explain the utility of Machine Learning, Deep Learning, Reinforcement Learning, and Deep Reinforcement Learning in Quantitative Finance (QF) and the Stock Market. We also outline potential future study paths in this area based on the overview that was presented before."
3,"A Comparison of AutoML Tools for Machine Learning, Deep Learning and XGBoost","This paper presents a benchmark of supervised Automated Machine Learning (AutoML) tools. Firstly, we analyze the characteristics of eight recent open-source AutoML tools (Auto-Keras, Auto-PyTorch, Auto-Sklearn, AutoGluon, H2O AutoML, rminer, TPOT and TransmogrifAI) and describe twelve popular OpenML datasets that were used in the benchmark (divided into regression, binary and multi-class classification tasks). Then, we perform a comparison study with hundreds of computational experiments based on three scenarios: General Machine Learning (GML), Deep Learning (DL) and XGBoost (XGB). To select the best tool, we used a lexicographic approach, considering first the average prediction score for each task and then the computational effort. The best predictive results were achieved for GML, which were further compared with the best OpenML public results. Overall, the best GML AutoML tools obtained competitive results, outperforming the best OpenML models in five datasets. These results confirm the potential of the general-purpose AutoML tools to fully automate the Machine Learning (ML) algorithm selection and tuning."
4,A hybrid machine learning/deep learning COVID-19 severity predictive model from CT images and clinical data,"COVID-19 clinical presentation and prognosis are highly variable, ranging from asymptomatic and paucisymptomatic cases to acute respiratory distress syndrome and multi-organ involvement. We developed a hybrid machine learning/deep learning model to classify patients in two outcome categories, non-ICU and ICU (intensive care admission or death), using 558 patients admitted in a northern Italy hospital in February/May of 2020. A fully 3D patient-level CNN classifier on baseline CT images is used as feature extractor. Features extracted, alongside with laboratory and clinical data, are fed for selection in a Boruta algorithm with SHAP game theoretical values. A classifier is built on the reduced feature space using CatBoost gradient boosting algorithm and reaching a probabilistic AUC of 0.949 on holdout test set. The model aims to provide clinical decision support to medical doctors, with the probability score of belonging to an outcome class and with case-based SHAP interpretation of features importance."
5,Promising Artificial Intelligence‐Machine Learning‐Deep Learning Algorithms in Ophthalmology,"Abstract: The lifestyle of modern society has changed significantly with the emergence of artificial intelligence (AI), machine learning (ML), and deep learning (DL) technologies in recent years. Artificial intelligence is a multidimensional technology with various components such as advanced algorithms, ML and DL. Together, AI, ML, and DL are expected to provide automated devices to ophthalmologists for early diagnosis and timely treatment of ocular disorders in the near future. In fact, AI, ML, and DL have been used in ophthalmic setting to validate the diagnosis of diseases, read images, perform corneal topographic mapping and intraocular lens calculations. Diabetic retinopathy (DR), age‐related macular degeneration (AMD), and glaucoma are the 3 most common causes of irreversible blindness on a global scale. Ophthalmic imaging provides a way to diagnose and objectively detect the progression of a number of pathologies including DR, AMD, glaucoma, and other ophthalmic disorders. There are 2 methods of imaging used as diagnostic methods in ophthalmic practice: fundus digital photography and optical coherence tomography (OCT). Of note, OCT has become the most widely used imaging modality in ophthalmology settings in the developed world. Changes in population demographics and lifestyle, extension of average lifespan, and the changing pattern of chronic diseases such as obesity, diabetes, DR, AMD, and glaucoma create a rising demand for such images. Furthermore, the limitation of availability of retina specialists and trained human graders is a major problem in many countries. Consequently, given the current population growth trends, it is inevitable that analyzing such images is time‐consuming, costly, and prone to human error. Therefore, the detection and treatment of DR, AMD, glaucoma, and other ophthalmic disorders through unmanned automated applications system in the near future will be inevitable. We provide an overview of the potential impact of the current AI, ML, and DL methods and their applications on the early detection and treatment of DR, AMD, glaucoma, and other ophthalmic diseases."
6,"Perspectives on the Impact of Machine Learning, Deep Learning, and Artificial Intelligence on Materials, Processes, and Structures Engineering","The fields of machining learning and artificial intelligence are rapidly expanding, impacting nearly every technological aspect of society. Many thousands of published manuscripts report advances over the last 5 years or less. Yet materials and structures engineering practitioners are slow to engage with these advancements. Perhaps the recent advances that are driving other technical fields are not sufficiently distinguished from long-known informatics methods for materials, thereby masking their likely impact to the materials, processes, and structures engineering (MPSE). Alternatively, the diverse nature and limited availability of relevant materials data pose obstacles to machine-learning implementation. The glimpse captured in this overview is intended to draw focus to selected distinguishing advances, and to show that there are opportunities for these new technologies to have transformational impacts on MPSE. Further, there are opportunities for the MPSE fields to contribute understanding to the emerging machine-learning tools from a physics basis. We suggest that there is an immediate need to expand the use of these new tools throughout MPSE, and to begin the transformation of engineering education that is necessary for ongoing adoption of the methods."
7,"Fifty years of computer analysis in chest imaging: rule-based, machine learning, deep learning","Half a century ago, the term “computer-aided diagnosis” (CAD) was introduced in the scientific literature. Pulmonary imaging, with chest radiography and computed tomography, has always been one of the focus areas in this field. In this study, I describe how machine learning became the dominant technology for tackling CAD in the lungs, generally producing better results than do classical rule-based approaches, and how the field is now rapidly changing: in the last few years, we have seen how even better results can be obtained with deep learning. The key differences among rule-based processing, machine learning, and deep learning are summarized and illustrated for various applications of CAD in the chest."
8,"Machine Learning, Deep Learning e Aplicações","Neste minicurso será apresentado e comentado brevemente sobre alguns conceitos básicos de Aprendizagem de Máquina (Machine Learning) relacionados aos tipos de aprendizagem que elas desenvolvem as quais podem ser: Aprendizagem Supervisionada e Aprendizagem Não Supervisionada. Dentro da Aprendizagem Supervisionada encontramos os seguintes tipos de Redes Neurais: Artificiais, Convolucionais e Recorrentes. Já em Aprendizagem Não Supervisionada temos: os Mapas Auto Organizáveis, Boltz Machines, Autoencoders e Redes Adversárias Generativas. Aprendizagem Supervisionada temos algumas aplicações como classificação e regressão, visão computacional, análise de séries temporais, entre outras; em Aprendizagem Não Supervisionada, podemos encontrar aplicações na deteccão de características e agrupamento, sistemas de recomendação, redução de dimensionalidade, geração de imagens etc. Será comentado sobre a história e teoria das Redes Neurais Artificiais e exemplificará o seu funcionamento calculando os pesos das camadas de entrada e saída que são números reais os quis representam o aprendizado da Rede Neural Artificial. Para finalizar será feita uma aplicação das Redes Neurais Convulacionais na classificação de gatos e cachorros utilizando o software Python e/ou Google Colebe on-line. Aprendizagem Profunda (Deep Learning) são Redes Neurais com mais de duas camadas ocultas ou escondidas. Será desenvolvida uma atividade em que os participantes irão calcular os pesos de uma Rede Neural Artificial de uma camada chamada Feed Forward. O minicurso será ofertado em dois dias, com o mesmo conteúdo em cada dia e o número de vagas será de 40 a 50 participantes por dia tendo com duração de 4 horas cada dia, tendo como público-alvo acadêmicos dos cursos de Administração, Ciências Contábeis, Matemática, acadêmicos de outros cursos, comunidade externa e professores que tenham interesse no tema."
9,DISEASE PREDICTION USING MACHINE LEARNING & DEEP LEARNING,"Heart disease, alternatively known as cardiovascular disease, encases va rious conditions that impact the heart and is the primary basis of death worldwide over the span of the past few decades. It associates many risk factors in heart disease and a need of the time to get accurate, reliable, and sensible approaches to make an early diagnosis to achieve prompt man agement of the disease. Data mining is a commonly used technique for processing enormous data in the healthcare domain. Researchers apply several data mining and machine learning techniques to analyse huge complex medical data, helping healthcare professionals to p redict heart disease. This research paper presents various attributes rel ated to heart disease, and the model on basis of supervised learning algorithms as Naïve Bayes, decision tree, K-nearest neighbor, and random forest algorithm. It uses the existing dat aset from the Cleveland database of UCI repository of heart disease patients. The dataset comprises 303 instances and 76 attributes. Of thes e 76 attributes, only 14 attributes are considered for testing, important to substantiate the performance of different algorithms. This research paper aims to envision the probability of developing heart disease in the patients. The results portray that the highest accuracy score is ach ieved with K-nearest neighbor ."
10,"PyTorch: An Imperative Style, High-Performance Deep Learning Library","Deep learning frameworks have often focused on either usability or speed, but not both. PyTorch is a machine learning library that shows that these two goals are in fact compatible: it was designed from first principles to support an imperative and Pythonic programming style that supports code as a model, makes debugging easy and is consistent with other popular scientific computing libraries, while remaining efficient and supporting hardware accelerators such as GPUs. In this paper, we detail the principles that drove the implementation of PyTorch and how they are reflected in its architecture. We emphasize that every aspect of PyTorch is a regular Python program under the full control of its user. We also explain how the careful and pragmatic implementation of the key components of its runtime enables them to work together to achieve compelling performance. We demonstrate the efficiency of individual subsystems, as well as the overall speed of PyTorch on several commonly used benchmarks."
