serial,title,abstract
1,Real-Life Experience and Diagnostic Utility of the BioFire Joint Infection PCR Panel in Bone and Joint Infections: Analysis of a Prospective Validation Study,"Microbiological diagnosis is central for adequate treatment of bone and joint infections. Culture-based methods have a limited diagnostic sensitivity and a long turnaround time (TAT). The objective of this study was to compare the diagnostic performance of BioFire Joint Infection Panel Investigational Use Only version (hereafter BioFire)—a sample-to-result multiplex PCR panel—with culture-based methods and 16S ribosomal RNA (rRNA) PCR and sequencing, when available. This study presents a retrospective analysis of a prospective validation study of the BioFire panel. Specimens were obtained from consecutive patients evaluated for suspected bone and joint infections and processed using culture, BioFire, and 16S rRNA PCR and sequencing. Final clinical diagnosis was used as the reference for definition of infection. Samples, including synovial fluid, bone and periarticular tissue, were obtained from 57 patients, 39 of whom were finally diagnosed with a bone or joint infection. Cultures were positive in 27/39 infected patients and in 3/18 uninfected patients (sensitivity 69%, specificity 83%). BioFire was positive in 22/39 infected patients and in none of the uninfected patients (sensitivity 56%, specificity 100%). Sensitivity for PCR panel organisms was 92% (22/24) and sensitivity for organisms identified by any microbiological modality was 69% (22/32). Gram stain results were positive in 13/39 infected patients and in none of the uninfected patients (sensitivity 33%, specificity 100%). 16S rRNA was positive in 20/28 infected patients and in 0/12 uninfected patients (sensitivity 71%, specificity 100%). Net machine time for BioFire—1 h—was shorter than the mean TAT for Gram stain results, which was 4 h. BioFire offered equivalent diagnostic performance with superior TAT for bone and joint infections, compared with conventional methods."
2,Optimal Power Scheduling and Techno-Economic Analysis of a Residential Microgrid for a Remotely Located Area: A Case Study for the Sahara Desert of Niger,"The growing demand for electricity and the reconstruction of poor areas in Africa require an effective and reliable energy supply system. The construction of reliable, clean, and inexpensive microgrids, whether isolated or connected to the main grid, has great importance in solving energy supply problems in remote desert areas. It is a complex interaction between the level of reliability, economical operation, and reduced emissions. This paper investigates the establishment of an efficient and cost-effective microgrid in a remote area located in the Djado Plateau, which lies in the Sahara Ténéré desert in northeastern Niger. Three cases are presented and compared to find the best one in terms of low costs. In case 1, the residential area is supplied by PVs and a battery energy storage system (BESS), while in the second case, PVs, a BESS, and a diesel generator (DG) are utilized to supply the load. In the third case, the grid will take on load-feeding responsibilities alongside PVs, a BESS, and a DG (used only in scenario 1 during the 2 h grid outage). The central objective is to lower the cost of the proposed microgrid. Among the three cases, case 3, scenario 2 has the lowest LCC, but implementing it is difficult because of the nature of the site. The results show that case 2 is the best in terms of total life cycle cost (LCC) and no grid dependency, as the annual total LCC reaches about $2,362,997. In this second case, the LCC is 11.19% lower compared to the first case and 5.664% lower compared to the third case, scenario 1."
3,Optimal Sizing and Techno-Economic Analysis of Grid-Independent Hybrid Energy System for Sustained Rural Electrification in Developing Countries: A Case Study in Bangladesh,"The absence of electricity is among the gravest problems preventing a nation’s development. Hybrid renewable energy systems (HRES) play a vital role to reducing this issue. The major goal of this study is to use the non-dominated sorting genetic algorithm (NSGA)-II and hybrid optimization of multiple energy resources (HOMER) Pro Software to reduce the net present cost (NPC), cost of energy (COE), and CO2 emissions of proposed power system. Five cases have been considered to understand the optimal HRES system for Kutubdia Island in Bangladesh and analyzed the technical viability and economic potential of this system. To demonstrate the efficacy of the suggested strategy, the best case outcomes from the two approaches are compared. The study’s optimal solution is also subjected to a sensitivity analysis to take into account fluctuations in the annual wind speed, solar radiation, and fuel costs. According to the data, the optimized PV/Wind/Battery/DG system (USD 711,943) has a lower NPC than the other cases. The NPC obtained by the NSGA-II technique is 2.69% lower than that of the HOMER-based system."
4,Siponimod vs placebo in active secondary progressive multiple sclerosis: a post hoc analysis from the phase 3 EXPAND study,"Siponimod is a sphingosine 1-phosphate receptor modulator approved for active secondary progressive multiple sclerosis (aSPMS) in most countries; however, phase 3 EXPAND study data are from an SPMS population with/without disease activity. A need exists to characterize efficacy/safety of siponimod in aSPMS. Post hoc analysis of participants with aSPMS (≥ 1 relapse in 2 years before study and/or ≥ 1 T1 gadolinium-enhancing [Gd +] magnetic resonance imaging [MRI] lesions at baseline) receiving oral siponimod (2 mg/day) or placebo for up to 3 years in EXPAND. Endpoints: 3-month/6-month confirmed disability progression (3mCDP/6mCDP); 3-month confirmed ≥ 20% worsening in Timed 25-Foot Walk (T25FW); 6-month confirmed improvement/worsening in Symbol Digit Modalities Test (SDMT) scores (≥ 4-point change); T2 lesion volume (T2LV) change from baseline; number of T1 Gd + lesions baseline–month 24; number of new/enlarging (N/E) T2 lesions over all visits. Data from 779 participants with aSPMS were analysed. Siponimod reduced risk of 3mCDP/6mCDP vs placebo (by 31%/37%, respectively; p < 0.01); there was no significant effect on T25FW. Siponimod increased likelihood of 6-month confirmed SDMT improvement vs placebo (by 62%; p = 0.007) and reduced risk of 6-month confirmed SDMT worsening (by 27%; p = 0.060). Siponimod was associated with less increase in T2LV (1316.3 vs 13.3 mm3; p < 0.0001), and fewer T1 Gd + and N/E T2 lesions than placebo (85% and 80% reductions, respectively; p < 0.0001). In aSPMS, siponimod reduced risk of disability progression and was associated with benefits on cognition and MRI outcomes vs placebo. ClinicalTrials.gov number: NCT01665144."
5,Consumers’ Preferences for Purchasing mHealth Apps: Discrete Choice Experiment,"Abstract Background There is growing interest in mobile health apps; however, not all of them have been successful. The most common issue has been users’ nonadoption or abandonment of health apps because the app designs do not meet their preferences. Therefore, to facilitate design-preference fit, understanding consumers’ preferences for health apps is necessary, which can be accomplished by using a discrete choice experiment. Objective This study aims to examine consumer preferences for health apps and how these preferences differ across individuals with different sociodemographic characteristics and health app usage and purchase experiences. Methods A cross-sectional discrete choice experiment questionnaire survey was conducted with 593 adults living in Hong Kong. A total of 7 health app attributes that might affect consumers’ preferences for health apps were examined, including usefulness, ease of use, security and privacy, health care professionals’ attitudes, smartphone storage consumption, mobile data consumption, and cost. Mixed-effect logit regressions were used to examine how these attributes affected consumer preferences for health apps. Fixed effects (coefficient β) of the attributes and random effects of individual differences were modeled. Subgroup analyses of consumer preferences by sex, age, household income, education level, and health app usage and purchase experiences were conducted. Results Cost was the attribute that had the greatest effect on consumers’ choice of health apps (compared to HK $10 [US $1.27]—HK $50 [US $6.37]: β=−1.064; P<.001; HK $100 [US $12.75]: β=−2.053; P<.001), followed by security and privacy (compared to no security insurance—some security policies: β=.782; P<.001; complete security system: β=1.164; P<.001) and usefulness (compared to slightly useful—moderately useful: β=.234; P<.001; very useful: β=.979; P=.007), mobile data consumption (compared to data-consuming—a bit data-consuming: β=.647; P<.001; data-saving: β=.815; P<.001), smartphone storage consumption (compared to >100 MB—around 38 MB: β=.334; P<.001; <10 MB: β=.511; P<.001), and attitudes of health care professionals (compared to neutral—moderately supportive: β=.301; P<.001; very supportive: β=.324; P<.001). In terms of ease of use, consumers preferred health apps that were moderately easy to use (compared to not easy to use—moderately easy to use: β=.761; P<.001; very easy to use: β=.690; P<.001). Our results also showed that consumers with different sociodemographic characteristics and different usage and purchase experiences with health apps differed in their preferences for health apps. Conclusions It is recommended that future health apps keep their mobile data and phone storage consumption low, include a complete security system to protect personal health information, provide useful content and features, adopt user-friendly interfaces, and involve health care professionals. In addition, health app developers should identify the characteristics of their intended users and design and develop health apps to fit the preferences of the intended users."
6,Parvovirus B19 Outbreak in Israel: Retrospective Molecular Analysis from 2010 to 2023,"This study presents an analysis of the epidemiological trends of parvovirus B19 (B19V) in Israel from 2010 to 2023, with particular emphasis on the outbreak in 2023. The analysis utilized molecular diagnostic data from individual patients obtained at the Central Virology Laboratory. Between 2010 and 2022, 8.5% of PCR-tested samples were positive for B19V, whereas in 2023, this percentage surged to 31% of PCR-tested samples. Throughout the study period, annual cycles consistently peaked in early spring/summer, with the most recent prominent outbreak occurring in 2016. Predominantly, diagnoses were made in children and women aged 20–39. Despite the notable surge in 2023, over 80% of positive cases continued to be observed in children and young women, with a decrease in cases during winter months. Furthermore, genotype 1a of the virus remained the predominant strain circulating during the outbreak. In light of these circumstances, consideration should be given to implementing screening measures, particularly among high-risk groups such as pregnant women."
7,Comparative evaluation of postoperative outcomes and expenditure between robotic and conventional single-level lumbar fusion surgery: a comprehensive analysis of nationwide inpatient sample data,"In this study, we investigate the evolution of lumbar fusion surgery with robotic assistance, specifically focusing on the impact of robotic technology on pedicle screw placement and fixation. Utilizing data from the Nationwide Inpatient Sample (NIS) covering 2016 to 2019, we conduct a comprehensive analysis of postoperative outcomes and costs for single-level lumbar fusion surgery. Traditionally, freehand techniques for pedicle screw placement posed risks, leading to the development of robotic-assisted techniques with advantages such as reduced misplacement, increased precision, smaller incisions, and decreased surgeon fatigue. However, conflicting study results regarding the efficacy of robotic assistance in comparison to conventional techniques have prompted the need for a thorough evaluation. With a dataset of 461,965 patients, our aim is to provide insights into the impact of robotic assistance on patient care and healthcare resource utilization. Our primary goal is to contribute to the ongoing discourse on the efficacy of robotic technology in lumbar fusion procedures, offering meaningful insights for optimizing patient-centered care and healthcare resource allocation. This study employed data from the Nationwide Inpatient Sample (NIS) spanning the years 2016 to 2019 from USA, 461,965 patients underwent one-level lumbar fusion surgery, with 5770 of them having the surgery with the assistance of robotic technology. The study focused primarily on one-level lumbar fusion surgery and excluded non-elective cases and those with prior surgeries. The analysis encompassed the identification of comorbidities, surgical etiologies, and complications using specific ICD-10 codes. Throughout the study, a constant comparison was made between robotic and non-robotic lumbar fusion procedures. Various statistical methods were applied, with a p value threshold of < 0.05, to determine statistical significance. Robotic-assisted lumbar fusion surgeries demonstrated a significant increase from 2016 to 2019, comprising 1.25% of cases. Both groups exhibited similar patient demographics, with minor differences in payment methods, favoring Medicare in non-robotic surgery and more private payer usage in robotic surgery. A comparison of comorbid conditions revealed differences in the prevalence of hypertension, dyslipidemia, and sleep apnea diagnoses—In terms of hospitalization outcomes and costs, there was a slight shorter hospital stay of 3.06 days, compared to 3.13 days in non-robotic surgery, showcasing a statistically significant difference (p = 0.042). Robotic surgery has higher charges, with a mean charge of $154,673, whereas non-robotic surgery had a mean charge of $125,467 (p < 0.0001). Robotic surgery demonstrated lower rates of heart failure, acute coronary artery disease, pulmonary edema, venous thromboembolism, and traumatic spinal injury compared to non-robotic surgery, with statistically significant differences (p < 0.05). Conversely, robotic surgery demonstrated increased post-surgery anemia and blood transfusion requirements compared to non-robotic patients (p < 0.0001). Renal disease prevalence was similar before surgery, but acute kidney injury was slightly higher in the robotic group post-surgery (p = 0.038). This is the first big data study on this matter, our study showed that Robotic-assisted lumbar fusion surgery has fewer post-operative complications such as heart failure, acute coronary artery disease, pulmonary edema, venous thromboembolism, and traumatic spinal injury in comparison to conventional methods. Conversely, robotic surgery demonstrated increased post-surgery anemia, blood transfusion and acute kidney injury. Robotic surgery has higher charges compared to non-robotic surgery."
8,"Search for an anomalous excess of charged-current 
νe
 interactions without pions in the final state with the MicroBooNE experiment","This article presents a measurement of $\nu_e$ interactions without pions in the final state using the MicroBooNE experiment and an investigation into the excess of low-energy electromagnetic events observed by the MiniBooNE collaboration. The measurement is performed in exclusive channels with (1$e$N$p$0$\pi$) and without (1$e$0$p$0$\pi$) visible final-state protons using 6.86$\times 10^{20}$ protons on target of data collected from the Booster Neutrino Beam at Fermilab. Events are reconstructed with the Pandora pattern recognition toolkit and selected using additional topological information from the MicroBooNE liquid argon time projection chamber. Using a goodness-of-fit test the data are found to be consistent with the predicted number of events with nominal flux and interaction models with a $p$-value of 0.098 in the two channels combined. A model based on the low-energy excess observed in MiniBooNE is introduced to quantify the strength of a possible $\nu_e$ excess. The analysis suggests that if an excess is present, it is not consistent with a simple scaling of the $\nu_e$ contribution to the flux. Combined, the 1$e$N$p$0$\pi$ and 1$e$0$p$0$\pi$ channels do not give a conclusive indication about the tested model, but separately they both disfavor the low-energy excess model at $>$90% CL. The observation in the most sensitive 1$e$N$p$0$\pi$ channel is below the prediction and consistent with no excess. In the less sensitive 1$e$0$p$0$\pi$ channel the observation at low energy is above the prediction, while overall there is agreement over the full energy spectrum."
9,"Investigation of a novel inorganic cubic perovskite Ca3PI3 with unique strain‐driven optical, electronic, and mechanical properties","The remarkable structural, optical, and electronic characteristics of inorganic perovskite materials have generated significant enthusiasm within the field of solar technology. The material Ca3PI3 belongs to the same category as inorganic metal halide perovskites. This research utilized the first‐principles density functional theory (FP‐DFT) to examine how the optical and electronic characteristics of Ca3PI3 are impacted by strain. To accurately determine the band arrangement, we incorporated the relativistic spin‐orbit coupling (SOC) effect into our calculations. The planar Ca3PI3 molecule has a direct bandgap of 1.582 eV (PBE) at its Г(gamma)‐point, but while the relativistic SOC effect is included, the bandgap decreases to 1.329 eV. Under compressive strain, the bandgap of all structures decreases, whereas under tensile strain, it increases. The optical characteristics of Ca3PI3, including the dielectric function, absorption coefficient, and electron loss function, indicate its strong absorption capabilities in the visible range, driven by its band properties. Besides, the photon energy spectrum displays a red‐shift (blue‐shift) in the absorption coefficient and dielectric function with increasing amounts of compressive (tensile) strain. Therefore, the study of the strain‐induced optical and electronic characteristics of Ca3PI3 bears valuable implications for its potential use in the design of solar cells and optoelectronic devices."
10,"Long-term effects of delayed-release dimethyl fumarate in multiple sclerosis: Interim analysis of ENDORSE, a randomized extension study","Background: Delayed-release dimethyl fumarate (DMF) demonstrated strong efficacy and a favorable benefit–risk profile for patients with relapsing–remitting multiple sclerosis (RRMS) in phase 3 DEFINE/CONFIRM studies. ENDORSE is an ongoing long-term extension of DEFINE/CONFIRM. Objective: We report efficacy and safety results of a 5-year interim analysis of ENDORSE (2 years DEFINE/CONFIRM; minimum 3 years ENDORSE). Methods: In ENDORSE, patients randomized to DMF 240 mg twice (BID) or thrice daily (TID) in DEFINE/CONFIRM continued this dosage, and those initially randomized to placebo (PBO) or glatiramer acetate (GA) were re-randomized to DMF 240 mg BID or TID. Results: For patients continuing DMF BID (BID/BID), annualized relapse rates were 0.202, 0.163, 0.139, 0.143, and 0.138 (years 1–5, respectively) and 63%, 73%, and 88% were free of new or enlarging T2 hyperintense lesions, new T1 hypointense lesions, and gadolinium-enhanced lesions, respectively, at year 5. Adverse events (AEs; serious adverse events (SAEs)) were reported in 91% (22%; BID/BID), 95% (24%; PBO/BID), and 88% (16%; GA/BID) of the patients. One case of progressive multifocal leukoencephalopathy was reported in the setting of severe, prolonged lymphopenia. Conclusion: Treatment with DMF was associated with continuously low clinical and magnetic resonance imaging (MRI) disease activity in patients with RRMS. These interim data demonstrate a sustained treatment benefit and an acceptable safety profile with DMF."
